cs_lookback,cs_n_long,cs_n_short,cs_rebalance,pair_lookback,pair_entry_z,pair_exit_z,sharpe,total_return,max_dd
21,3,3,6,21,1.5,0.5,0.03976545108851645,-0.011858422448545958,-0.25546980670866803
21,3,3,6,21,2.0,0.5,0.16291441869176015,0.02315771221882934,-0.24362809239039118
21,3,3,6,42,1.5,0.5,0.44794037593168495,0.10934860667785173,-0.2191625219908082
21,3,3,6,42,2.0,0.5,0.4794830563515548,0.1174679939367218,-0.22731716231386268
21,3,3,6,84,1.5,0.5,0.1287874937329953,0.013198601045458336,-0.2227516399748154
21,3,3,6,84,2.0,0.5,0.29977022229028033,0.06339228941479313,-0.21999600202753788
21,3,3,12,21,1.5,0.5,0.6653649328628441,0.1780242469323563,-0.19816574227584394
21,3,3,12,21,2.0,0.5,0.8030795606176018,0.2200353813733016,-0.19054873934733219
21,3,3,12,42,1.5,0.5,1.06606576054323,0.3213118633178631,-0.1815543911712979
21,3,3,12,42,2.0,0.5,1.1051043456685075,0.33094194129793064,-0.18969524697775986
21,3,3,12,84,1.5,0.5,0.7362949698919814,0.20703523091544396,-0.18486685006976944
21,3,3,12,84,2.0,0.5,0.9151941219228507,0.26677106601731704,-0.18566338234142932
42,3,3,6,21,1.5,0.5,0.654579560151759,0.1797495729264773,-0.19404299898863853
42,3,3,6,21,2.0,0.5,0.7868679727834903,0.22220588890170645,-0.19282866566398005
42,3,3,6,42,1.5,0.5,1.0577764360902904,0.32471248044666545,-0.16433865300043649
42,3,3,6,42,2.0,0.5,1.090810350291286,0.33427706157372206,-0.15737972900556962
42,3,3,6,84,1.5,0.5,0.7303134434990108,0.20983385709204372,-0.18692952178830324
42,3,3,6,84,2.0,0.5,0.9053162205266335,0.27011912243608904,-0.17553879507560588
42,3,3,12,21,1.5,0.5,1.3719601344228165,0.4404063614008389,-0.10552206202113046
42,3,3,12,21,2.0,0.5,1.5242349225005671,0.4927366825808892,-0.11228518930654297
42,3,3,12,42,1.5,0.5,1.7904002376114874,0.6182324953313414,-0.10364131616072425
42,3,3,12,42,2.0,0.5,1.8257240017323717,0.6294342957535088,-0.11323449164009391
42,3,3,12,84,1.5,0.5,1.431453355151215,0.477534419447172,-0.11016862915592307
42,3,3,12,84,2.0,0.5,1.6226404476415657,0.5512454030965834,-0.11559847633644105
84,3,3,6,21,1.5,0.5,-0.7842533270653729,-0.215003157229953,-0.3245755749166541
84,3,3,6,21,2.0,0.5,-0.6735898857127891,-0.1865241202464164,-0.3078101781930672
84,3,3,6,42,1.5,0.5,-0.3742155156163352,-0.11810489950317482,-0.276280309411695
84,3,3,6,42,2.0,0.5,-0.3521934922822628,-0.11204191350211246,-0.26491272046576053
84,3,3,6,84,1.5,0.5,-0.6734639315940573,-0.19489934862312797,-0.27941951687359723
84,3,3,6,84,2.0,0.5,-0.5144105301864609,-0.1549296705168246,-0.2706355404356726
84,3,3,12,21,1.5,0.5,-0.6243762133164507,-0.17540721875032939,-0.3137919816432623
84,3,3,12,21,2.0,0.5,-0.5095962940622528,-0.1453051416720349,-0.3060545457730437
84,3,3,12,42,1.5,0.5,-0.20329136863231767,-0.0737415958986598,-0.27872307204212043
84,3,3,12,42,2.0,0.5,-0.1799077343000431,-0.06694879283795441,-0.2712989100409734
84,3,3,12,84,1.5,0.5,-0.5117760251765332,-0.1543520258011014,-0.30096937082186825
84,3,3,12,84,2.0,0.5,-0.34825182677192357,-0.11244410211168365,-0.29002672678159036
